Start State:
cross section    distance           zbed     leftdam    rightdam  bottomlevel              z          eline              A              Q              C        delta x         
        CS113          11300       108.7       118.7       118.7        112.7      110.37513      110.43882        22.3654             25              0            100
        CS114          11400       108.6       118.6       118.6        112.6      110.27513      110.33881      22.365435             25              0            100
        CS115          11500       108.5       118.5       118.5        112.5      110.17512       110.2388      22.365495             25              0            100
        CS116          11600       108.4       118.4       118.4        112.4      110.07512      110.13881      22.365698             25              0            100
        CS117          11700       108.3       118.3       118.3        112.3      109.97512       110.0388      22.365805             25              0            100
        CS118          11800       108.2       118.2       118.2        112.2      109.87515      109.93883      22.366359             25              0            100
        CS119          11900       108.1       118.1       118.1        112.1      109.77514      109.83882      22.366333             25              0            100
        CS120          12000         108         118         118          112      109.67519      109.73887      22.365908             25              0            100
        CS121          12100       107.9       117.9       117.9        111.9      109.57516      109.63884      22.365452             25              0            100
        CS122          12200       107.8       117.8       117.8        111.8      109.47514      109.53883      22.365414             25              0            100
        CS123          12300       107.7       117.7       117.7        111.7      109.37513      109.43882        22.3654             25              0            100
        CS124          12400       107.6       117.6       117.6        111.6      109.27513      109.33881      22.365435             25              0            100
        CS125          12500       107.5       117.5       117.5        111.5      109.17512       109.2388      22.365495             25              0            100
        CS126          12600       107.4       117.4       117.4        111.4      109.07512      109.13881      22.365698             25              0            100
        CS127          12700       107.3       117.3       117.3        111.3      108.97512       109.0388      22.365805             25              0            100
        CS128          12800       107.2       117.2       117.2        111.2      108.87515      108.93883      22.366359             25              0            100
        CS129          12900       107.1       117.1       117.1        111.1      108.77514      108.83882      22.366333             25              0            100
        CS130          13000         107         117         117          111      108.67519      108.73887      22.365908             25              0            100
        CS131          13100       106.9       116.9       116.9        110.9      108.57516      108.63884      22.365452             25              0            100
        CS132          13200       106.8       116.8       116.8        110.8      108.47514      108.53883      22.365414             25              0            100
        CS133          13300       106.7       116.7       116.7        110.7      108.37513      108.43882        22.3654             25              0            100
        CS134          13400       106.6       116.6       116.6        110.6      108.27513      108.33881      22.365435             25              0            100
        CS135          13500       106.5       116.5       116.5        110.5      108.17512       108.2388      22.365495             25              0            100
        CS136          13600       106.4       116.4       116.4        110.4      108.07512      108.13881      22.365698             25              0            100
